Date,Open,Close,High,Low,Turnover,TsVolume,ExhcangeRate
2020-11-17,38.49,39.33,39.49,38.29,472856,2065231456.0,0.23
2020-11-18,39.09,40.24,40.49,38.9,628202,2797752560.0,0.3
2020-11-19,40.02,40.36,40.49,39.48,477342,2128954048.0,0.23
2020-11-20,40.25,40.54,40.79,40.0,314688,1414292256.0,0.15
2020-11-23,40.54,40.89,41.07,40.31,584621,2647101184.0,0.28
2020-11-24,40.49,40.36,40.79,40.02,399467,1793220432.0,0.19
2020-11-25,41.01,39.92,41.06,39.66,378072,1694470960.0,0.18
2020-11-26,39.96,40.58,40.87,39.96,351534,1584282512.0,0.17
2020-11-27,40.89,41.34,41.46,40.19,446078,2024963456.0,0.22
2020-11-30,41.34,39.69,43.26,39.52,1153602,5291989504.0,0.56
2020-12-01,39.89,41.69,42.04,39.88,780728,3559778624.0,0.38
2020-12-02,41.49,42.29,42.52,40.75,619944,2864114256.0,0.3
2020-12-03,42.24,41.98,42.59,40.99,502376,2317794752.0,0.24
2020-12-04,41.96,41.27,42.09,40.6,461155,2099378096.0,0.22
2020-12-07,41.19,39.91,41.24,39.59,704825,3138039088.0,0.34
2020-12-08,39.88,39.75,40.25,39.49,377167,1671238320.0,0.18
2020-12-09,39.86,39.73,40.42,39.71,375195,1672113664.0,0.18
2020-12-10,39.53,39.77,40.12,39.29,368874,1630166592.0,0.18
2020-12-11,39.74,38.17,39.76,38.17,771435,3347336208.0,0.37
2020-12-14,38.81,39.86,40.15,38.81,607427,2686115504.0,0.29
2020-12-15,39.94,39.84,40.43,38.93,438792,1936658512.0,0.21
2020-12-16,40.28,39.55,40.34,39.37,367902,1628021248.0,0.18
2020-12-17,39.39,39.54,39.66,38.84,502329,2199570320.0,0.24
2020-12-18,39.58,38.59,39.88,38.29,760600,3296589104.0,0.37
2020-12-21,38.53,38.38,38.64,37.8,623851,2674269712.0,0.3
2020-12-22,38.48,37.4,38.49,37.36,784686,3320101856.0,0.38
2020-12-23,37.2,37.81,37.9,37.2,711820,3004166816.0,0.35
2020-12-24,37.84,38.06,38.59,37.81,482110,2055723696.0,0.23
2020-12-25,38.04,38.21,38.39,37.47,476732,2023487312.0,0.23
2020-12-28,38.24,38.53,38.81,37.72,841409,3600599040.0,0.41
2020-12-29,38.75,38.32,38.78,38.14,727148,3118082064.0,0.35
2020-12-30,38.36,38.54,38.54,37.39,933496,3963394416.0,0.45
2020-12-31,38.54,39.44,39.84,38.34,891199,3909432880.0,0.43
2021-01-04,38.72,38.66,39.27,37.51,1549523,6608868864.0,0.75
2021-01-05,38.25,37.67,38.29,36.93,1387177,5809639168.0,0.67
2021-01-06,37.59,39.64,39.69,37.49,1200646,5188622848.0,0.58
2021-01-07,39.78,41.39,41.46,39.75,1078322,4869741056.0,0.52
2021-01-08,41.78,42.09,42.51,41.3,1299595,6021483008.0,0.63
2021-01-11,42.07,43.91,44.66,41.98,1445234,6992740096.0,0.7
2021-01-12,44.04,45.19,45.54,43.05,1044486,5103985920.0,0.51
2021-01-13,44.8,44.89,45.47,44.37,649110,3207741648.0,0.31
2021-01-14,44.89,44.54,45.57,44.05,703771,3467710704.0,0.34
2021-01-15,45.99,46.63,49.38,45.97,1775745,9232542720.0,0.86
2021-01-18,46.99,47.41,48.57,46.69,1237642,6463924992.0,0.6
2021-01-19,47.79,47.34,48.72,46.98,901880,4710719488.0,0.44
2021-01-20,47.59,47.21,48.61,46.48,792281,4123860432.0,0.38
2021-01-21,48.46,48.13,48.99,47.64,736715,3886756928.0,0.36
2021-01-22,48.34,47.13,48.34,46.49,870001,4492606208.0,0.42
2021-01-25,46.59,47.6,47.95,45.59,865362,4438842624.0,0.42
2021-01-26,47.49,46.89,48.59,46.49,601175,3126374832.0,0.29
2021-01-27,47.1,47.49,48.39,47.1,609232,3187049344.0,0.3
2021-01-28,46.49,47.1,47.24,46.29,523870,2684963888.0,0.25
2021-01-29,47.67,46.59,47.95,46.3,621489,3211002064.0,0.3
2021-02-01,46.49,47.89,48.27,45.97,796626,4125446256.0,0.39
2021-02-02,47.84,47.46,48.29,47.09,720306,3752480880.0,0.35
2021-02-03,47.56,48.54,49.49,46.98,765876,4045314784.0,0.37
2021-02-04,48.36,48.99,50.69,48.1,969110,5229905920.0,0.47
2021-02-05,49.55,50.23,51.43,49.19,1151578,6315430656.0,0.56
2021-02-08,50.68,50.75,51.09,49.18,816378,4479792896.0,0.4
2021-02-09,50.87,50.75,50.87,49.74,619005,3393598048.0,0.3
2021-02-10,51.79,50.04,51.89,49.44,753508,4135201072.0,0.37
2021-02-18,51.14,51.18,53.09,50.68,1070913,6013345280.0,0.52
2021-02-19,51.14,50.69,52.2,50.37,710182,3948306736.0,0.34
2021-02-22,50.76,49.69,51.23,48.85,801511,4368564992.0,0.39
